psalmtitle|Ps 88. Domine, Deus salutis meae, in die clamavi|圣咏第88首|
verse|Ipse invocábit me: Pater meus es tu: Deus meus, et suscéptor salútis meæ.|伊將呼予：爾乃子父，予天主及吾保。|
verse|Et ego primogénitum ponam illum excélsum præ régibus terræ.|予即俾伊為元子，昂然王世者。|
verse|In ætérnum servábo illi misericórdiam meam: et testaméntum meum fidéle ipsi.|永存予慈於伊，予詔一定。|
verse|Et ponam in sǽculum sǽculi semen ejus: et thronum ejus sicut dies cæli.|令厥代世世，厥座如天日。|
verse|Si autem derelíquerint fílii ejus legem meam: et in judíciis meis non ambuláverint: Si justítias meas profanáverint: et mandáta mea non custodíerint: Visitábo in virga iniquitátes eórum: et in verbéribus peccáta eórum.|若厥子方予令弗踐予道，若輕予諸義者而不守予令，用枝責厥不義，笞撻厥罪。|
verse|Misericórdiam autem meam non dispérgam ab eo: neque nocébo in veritáte mea: Neque profanábo testaméntum meum: et quæ procédunt de lábiis meis, non fáciam írrita.|若厥子方予令弗踐予道，若輕予諸義者而不守予令，用枝責厥不義，笞撻厥罪。|
verse|Semel jurávi in sancto meo: Si David méntiar: semen ejus in ætérnum manébit.|但不盡泯予慈，又弗傷伊。|
verse|Et thronus ejus sicut sol in conspéctu meo, et sicut luna perfécta in ætérnum: et testis in cælo fidélis.|因予真實，又不忽予詔，凡出予口固不虛。|
verse|Tu vero repulísti et despexísti: distulísti Christum tuum.|予因予聖曾一誓非誣，達未德厥嗣永存，厥座予前如日如月，望世世忠証在天。|
verse|Evertísti testaméntum servi tui: profanásti in terra Sanctuárium ejus.|爾退逖而忽爾基利斯督，滅厥詔，污聖堂於地，毁厥諸籬，其安居乃為惧。|
verse|Destruxísti omnes sepes ejus: posuísti firmaméntum ejus formídinem.|凡行路者掠檢，為厥隣者譏侮。|
verse|Diripuérunt eum omnes transeúntes viam: factus est oppróbrium vicínis suis.|舉壓伊者右手，令厥仇歡樂，弗扶厥刀，戰時弗祐。|
verse|Exaltásti déxteram depriméntium eum: lætificásti omnes inimícos ejus.|止厥蠲沉於地，厥座短折，時日侮辱伊。|
verse|Avertísti adjutórium gládii ejus: et non es auxiliátus ei in bello.|主至終時震怒乎？爾怒如火熾乎？憶予體何如？造人衆徒然乎？誰人生而不死，出脫厥靈於獄手乎？主昔時爾慈何在？如於達未德真誓。|
verse|Destruxísti eum ab emundatióne: et sedem ejus in terram collisísti.|記爾諸僕被辱於異教多衆，予存於予懷。|
verse|Minorásti dies témporis ejus: perfudísti eum confusióne. Úsquequo, Dómine, avértis in finem: exardéscet sicut ignis ira tua? Memoráre quæ mea substántia: numquid enim vane constituísti omnes fílios hóminum? Quis est homo, qui vivet, et non vidébit mortem: éruet ánimam suam de manu ínferi? Ubi sunt misericórdiæ tuæ antíquæ, Dómine, sicut jurásti David in veritáte tua? Memor esto, Dómine, oppróbrii servórum tuórum quod contínui in sinu meo multárum géntium.|主爾仇覿面言，覿面言改變爾基利斯督。|
verse|Quod exprobravérunt inimíci tui, Dómine, quod exprobravérunt commutatiónem Christi tui.|讚美主於無窮。|
verse|Benedíctus Dóminus in ætérnum: fiat, fiat.|是是。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
